City_District,Year,Season,Crop_Type,Failure_Rate_Percentage,Affected_Area_Hectares,Primary_Cause,Economic_Loss_Crores
Sangli,2022,Zaid,Cotton,20.75,1603.13,Disease,33.26
Nashik,2024,Zaid,Soybean,28.92,4907.63,Disease,141.93
Jalgaon,2024,Zaid,Bajra,33.6,3954.76,Heatwave,132.88
Osmanabad,2023,Kharif,Rice,38.77,4575.19,Disease,177.38
Mumbai,2021,Rabi,Tur (Pigeon Pea),24.54,2762.54,Soil Degradation,67.79
Latur,2024,Rabi,Tur (Pigeon Pea),5.62,3690.15,Unseasonal Rain,20.74
Mira-Bhayandar,2022,Zaid,Wheat,47.53,1290.48,Disease,61.34
Dhule,2024,Zaid,Onion,31.26,3931.33,Unseasonal Rain,122.89
Amravati,2022,Kharif,Sugarcane,21.54,2138.29,Heatwave,46.06
Parbhani,2022,Kharif,Onion,80.73,4481.5,Heatwave,361.79
Satara,2024,Kharif,Onion,74.63,1765.23,Disease,131.74
Kalyan-Dombivli,2024,Rabi,Cotton,8.06,170.26,Pest Attack,1.37
Thane,2023,Kharif,Jowar,91.32,4453.55,Pest Attack,406.7
Parbhani,2024,Kharif,Rice,84.44,1639.14,Heatwave,138.41
Palghar,2024,Zaid,Jowar,16.03,2031.63,Drought,32.57
Jalgaon,2023,Rabi,Cotton,18.8,246.93,Flood,4.64
Kalyan-Dombivli,2023,Zaid,Sugarcane,83.8,2844.64,Unseasonal Rain,238.38
Mumbai,2021,Rabi,Wheat,32.06,4858.75,Drought,155.77
Beed,2024,Rabi,Sugarcane,23.99,3393.88,Flood,81.42
Sangli,2022,Rabi,Cotton,59.41,4841.36,Drought,287.63
Satara,2023,Zaid,Bajra,70.43,1955.06,Disease,137.69
Wardha,2022,Kharif,Onion,35.38,3622.17,Flood,128.15
Mumbai,2024,Kharif,Cotton,51.56,1415.58,Flood,72.99
Solapur,2022,Rabi,Onion,37.12,1237.63,Heatwave,45.94
Amravati,2023,Kharif,Rice,11.14,184.27,Unseasonal Rain,2.05
Jalgaon,2023,Rabi,Sugarcane,72.57,4798.79,Drought,348.25
Chandrapur,2021,Rabi,Onion,78.13,264.72,Drought,20.68
Ambarnath,2022,Rabi,Bajra,91.63,2143.62,Disease,196.42
Vasai-Virar,2022,Kharif,Wheat,10.28,882.89,Unseasonal Rain,9.08
Nashik,2022,Zaid,Wheat,70.24,659.71,Heatwave,46.34
Bhusawal,2023,Rabi,Wheat,31.3,1160.74,Flood,36.33
Latur,2021,Kharif,Rice,70.55,3172.36,Pest Attack,223.81
Kalyan-Dombivli,2021,Rabi,Onion,9.26,3985.32,Unseasonal Rain,36.9
Panvel,2022,Zaid,Tur (Pigeon Pea),67.6,2177.85,Heatwave,147.22
Akola,2023,Kharif,Onion,73.38,2166.6,Disease,158.99
Washim,2023,Rabi,Bajra,60.98,428.98,Flood,26.16
Sangli,2022,Rabi,Maize,48.31,3771.08,Pest Attack,182.18
Mumbai,2024,Kharif,Sugarcane,27.92,392.12,Disease,10.95
Wardha,2022,Zaid,Onion,65.74,2103.32,Drought,138.27
Panvel,2023,Rabi,Tur (Pigeon Pea),64.06,859.73,Unseasonal Rain,55.07
Solapur,2021,Rabi,Wheat,92.44,1772.89,Flood,163.89
Akola,2021,Kharif,Rice,72.16,3492.12,Drought,251.99
Kolhapur,2023,Kharif,Tur (Pigeon Pea),47.25,729.71,Drought,34.48
Akola,2023,Kharif,Maize,81.26,2379.93,Disease,193.39
Bhandara,2024,Kharif,Tur (Pigeon Pea),17.11,1667.15,Unseasonal Rain,28.52
Nanded,2024,Kharif,Rice,5.21,809.11,Soil Degradation,4.22
Chandrapur,2024,Zaid,Maize,76.45,526.31,Soil Degradation,40.24
Thane,2023,Rabi,Sugarcane,94.81,688.19,Flood,65.25
Pune,2024,Zaid,Soybean,41.12,3374.35,Drought,138.75
Washim,2023,Kharif,Onion,13.22,2344.94,Flood,31.0
Amravati,2023,Zaid,Onion,59.34,3780.59,Flood,224.34
Yavatmal,2023,Kharif,Maize,66.6,352.49,Disease,23.48
Bhusawal,2024,Kharif,Wheat,17.65,2210.06,Soil Degradation,39.01
Malegaon,2024,Kharif,Onion,21.93,3214.15,Disease,70.49
Ratnagiri,2021,Rabi,Jowar,74.06,2294.41,Flood,169.92
Satara,2024,Zaid,Bajra,93.79,3364.69,Heatwave,315.57
Nanded,2022,Kharif,Cotton,30.36,895.54,Unseasonal Rain,27.19
Solapur,2024,Zaid,Bajra,56.71,4008.87,Unseasonal Rain,227.34
Nanded,2023,Zaid,Sugarcane,73.59,3907.91,Flood,287.58
Bhusawal,2022,Zaid,Soybean,5.69,259.55,Disease,1.48
Washim,2023,Kharif,Onion,74.11,4578.32,Flood,339.3
Washim,2024,Kharif,Bajra,23.01,3823.08,Pest Attack,87.97
Thane,2023,Zaid,Rice,41.89,4914.02,Drought,205.85
Yavatmal,2022,Zaid,Cotton,36.77,947.56,Heatwave,34.84
Ichalkaranji,2021,Kharif,Tur (Pigeon Pea),55.14,2918.15,Pest Attack,160.91
Akola,2021,Zaid,Maize,69.31,2773.48,Drought,192.23
Osmanabad,2021,Kharif,Tur (Pigeon Pea),82.12,2268.13,Pest Attack,186.26
Mumbai,2022,Rabi,Cotton,22.93,3231.72,Unseasonal Rain,74.1
Jalgaon,2023,Kharif,Onion,16.08,3270.77,Drought,52.59
Kalyan-Dombivli,2024,Kharif,Onion,94.26,2113.08,Drought,199.18
Bhusawal,2022,Kharif,Tur (Pigeon Pea),70.57,2430.08,Disease,171.49
Hingoli,2024,Rabi,Maize,33.73,4041.49,Heatwave,136.32
Bhiwandi,2022,Zaid,Soybean,81.89,2335.77,Pest Attack,191.28
Panvel,2021,Kharif,Rice,34.19,4665.89,Flood,159.53
Ulhasnagar,2023,Kharif,Wheat,48.22,1064.67,Disease,51.34
Chandrapur,2021,Rabi,Sugarcane,35.03,4408.52,Drought,154.43
Yavatmal,2022,Kharif,Tur (Pigeon Pea),87.7,1598.73,Flood,140.21
Gondia,2021,Kharif,Jowar,27.84,2596.37,Soil Degradation,72.28
Pune,2024,Kharif,Onion,18.94,4551.47,Heatwave,86.2
Vasai-Virar,2021,Kharif,Cotton,15.12,2460.57,Pest Attack,37.2
Ulhasnagar,2022,Rabi,Maize,57.46,4197.74,Heatwave,241.2
Ratnagiri,2024,Zaid,Rice,8.44,3627.96,Disease,30.62
Solapur,2022,Rabi,Tur (Pigeon Pea),21.27,1310.21,Heatwave,27.87
Nandurbar,2021,Kharif,Soybean,20.97,2943.06,Flood,61.72
Panvel,2022,Rabi,Tur (Pigeon Pea),39.25,2965.37,Pest Attack,116.39
Bhiwandi,2022,Zaid,Bajra,79.67,1063.78,Flood,84.75
Amravati,2022,Kharif,Soybean,89.63,3437.07,Flood,308.06
Navi Mumbai,2021,Rabi,Maize,50.85,2926.39,Unseasonal Rain,148.81
Jalna,2022,Zaid,Tur (Pigeon Pea),60.57,4161.79,Disease,252.08
Bhusawal,2023,Kharif,Jowar,34.08,1256.18,Unseasonal Rain,42.81
Osmanabad,2024,Rabi,Jowar,5.55,2121.41,Disease,11.77
Ulhasnagar,2024,Zaid,Jowar,12.9,4815.96,Heatwave,62.13
Parbhani,2024,Kharif,Bajra,34.75,2059.34,Heatwave,71.56
Chandrapur,2021,Kharif,Rice,91.51,1236.5,Flood,113.15
Parbhani,2024,Kharif,Jowar,24.41,1058.68,Heatwave,25.84
Navi Mumbai,2022,Zaid,Tur (Pigeon Pea),32.38,4216.32,Pest Attack,136.52
Pune,2021,Kharif,Sugarcane,12.45,3225.83,Heatwave,40.16
Bhiwandi,2023,Rabi,Onion,47.4,3862.3,Soil Degradation,183.07
Bhandara,2023,Rabi,Cotton,11.96,4436.28,Unseasonal Rain,53.06
Beed,2022,Rabi,Sugarcane,85.2,993.98,Pest Attack,84.69
Amravati,2022,Rabi,Sugarcane,62.98,2404.7,Pest Attack,151.45
Nagpur,2023,Kharif,Cotton,89.14,3403.13,Heatwave,303.36
Osmanabad,2024,Rabi,Jowar,67.43,2844.99,Disease,191.84
Panvel,2024,Kharif,Onion,8.93,523.67,Disease,4.68
Nandurbar,2024,Zaid,Tur (Pigeon Pea),45.91,3179.33,Heatwave,145.96
Ichalkaranji,2023,Rabi,Rice,60.42,3578.65,Heatwave,216.22
Jalgaon,2023,Zaid,Jowar,12.02,3926.2,Drought,47.19
Gondia,2021,Zaid,Bajra,45.24,3655.48,Disease,165.37
Vasai-Virar,2022,Kharif,Sugarcane,68.28,1896.76,Soil Degradation,129.51
Ulhasnagar,2022,Zaid,Sugarcane,94.6,2080.47,Flood,196.81
Ratnagiri,2021,Rabi,Bajra,42.89,1259.76,Unseasonal Rain,54.03
Dhule,2022,Rabi,Bajra,42.11,1092.82,Drought,46.02
Bhandara,2024,Rabi,Onion,46.32,1965.89,Heatwave,91.06
Hingoli,2023,Rabi,Cotton,89.11,2044.35,Drought,182.17
Bhandara,2022,Zaid,Soybean,59.44,2895.84,Drought,172.13
Amravati,2021,Kharif,Onion,68.33,411.4,Soil Degradation,28.11
Akola,2022,Rabi,Onion,6.81,2458.65,Disease,16.74
Kolhapur,2021,Zaid,Sugarcane,66.24,4836.18,Pest Attack,320.35
Palghar,2022,Rabi,Jowar,82.33,3916.83,Flood,322.47
Nandurbar,2024,Rabi,Soybean,36.37,2158.02,Disease,78.49
Nashik,2024,Rabi,Onion,61.01,1795.96,Pest Attack,109.57
Ambarnath,2024,Zaid,Wheat,37.31,2771.36,Pest Attack,103.4
Ichalkaranji,2022,Rabi,Cotton,57.76,550.1,Flood,31.77
Ambarnath,2023,Rabi,Sugarcane,65.79,2429.82,Soil Degradation,159.86
Latur,2023,Rabi,Onion,64.61,4133.02,Soil Degradation,267.03
Satara,2024,Rabi,Wheat,63.9,3934.02,Unseasonal Rain,251.38
Ratnagiri,2022,Zaid,Jowar,28.52,423.83,Flood,12.09
Hingoli,2023,Rabi,Jowar,48.42,3275.92,Disease,158.62
Palghar,2024,Kharif,Cotton,43.17,3733.37,Unseasonal Rain,161.17
Sangli,2021,Zaid,Wheat,16.76,1569.18,Soil Degradation,26.3
Gondia,2023,Kharif,Onion,41.39,938.48,Soil Degradation,38.84
Satara,2023,Rabi,Rice,44.24,3939.04,Pest Attack,174.26
Kalyan-Dombivli,2021,Zaid,Cotton,70.99,3746.21,Flood,265.94
Jalna,2023,Zaid,Sugarcane,80.06,2680.24,Heatwave,214.58
Washim,2024,Zaid,Cotton,77.58,963.03,Heatwave,74.71
Gondia,2024,Rabi,Onion,41.73,3666.9,Heatwave,153.02
Osmanabad,2023,Zaid,Jowar,23.48,3825.11,Unseasonal Rain,89.81
Hingoli,2022,Zaid,Cotton,26.28,2612.82,Heatwave,68.66
Malegaon,2023,Zaid,Jowar,36.28,4565.82,Soil Degradation,165.65
Gondia,2021,Kharif,Wheat,74.55,464.56,Unseasonal Rain,34.63
Navi Mumbai,2022,Kharif,Sugarcane,79.13,854.08,Soil Degradation,67.58
Washim,2022,Rabi,Jowar,18.46,4185.41,Drought,77.26
Akola,2021,Kharif,Wheat,29.87,3572.19,Flood,106.7
Ulhasnagar,2024,Rabi,Tur (Pigeon Pea),8.81,3370.03,Heatwave,29.69
Parbhani,2023,Rabi,Soybean,62.79,2779.95,Flood,174.55
Parbhani,2023,Rabi,Onion,82.71,833.06,Pest Attack,68.9
Malegaon,2022,Rabi,Onion,48.46,3730.31,Heatwave,180.77
Ratnagiri,2024,Zaid,Jowar,53.43,2108.37,Soil Degradation,112.65
Jalgaon,2022,Kharif,Jowar,21.02,4085.13,Soil Degradation,85.87
Beed,2023,Rabi,Tur (Pigeon Pea),29.34,879.66,Unseasonal Rain,25.81
Vasai-Virar,2022,Zaid,Bajra,34.25,2077.19,Flood,71.14
Satara,2023,Rabi,Tur (Pigeon Pea),52.95,2025.19,Flood,107.23
Nandurbar,2023,Kharif,Jowar,24.87,1446.12,Drought,35.97
Satara,2024,Kharif,Wheat,50.75,4758.19,Unseasonal Rain,241.48
Beed,2021,Zaid,Maize,34.41,197.74,Drought,6.8
Bhandara,2024,Rabi,Tur (Pigeon Pea),46.56,4913.58,Soil Degradation,228.78
Latur,2023,Zaid,Maize,11.29,3332.17,Soil Degradation,37.62
Pune,2023,Zaid,Bajra,17.66,558.07,Unseasonal Rain,9.86
Yavatmal,2024,Rabi,Maize,90.03,4774.37,Heatwave,429.84
Aurangabad,2024,Rabi,Cotton,49.64,1449.82,Drought,71.97
Satara,2024,Zaid,Bajra,79.52,4574.81,Drought,363.79
Malegaon,2023,Zaid,Tur (Pigeon Pea),74.68,3820.63,Drought,285.32
Ichalkaranji,2022,Kharif,Soybean,20.22,4780.83,Drought,96.67
Amravati,2021,Rabi,Cotton,65.94,3069.63,Disease,202.41
Ratnagiri,2023,Zaid,Maize,49.99,1459.13,Drought,72.94
Sangli,2024,Kharif,Soybean,73.5,2305.24,Soil Degradation,169.44
Solapur,2023,Rabi,Sugarcane,73.71,3126.34,Flood,230.44
Ratnagiri,2022,Rabi,Tur (Pigeon Pea),44.85,530.24,Heatwave,23.78
Kolhapur,2022,Zaid,Jowar,72.56,4203.3,Pest Attack,304.99
Parbhani,2021,Zaid,Sugarcane,16.76,684.86,Heatwave,11.48
Beed,2022,Rabi,Soybean,66.99,3343.97,Pest Attack,224.01
Vasai-Virar,2024,Kharif,Cotton,47.13,1476.65,Soil Degradation,69.59
Nanded,2022,Kharif,Wheat,51.85,739.96,Pest Attack,38.37
Malegaon,2021,Rabi,Jowar,11.83,2111.99,Disease,24.98
Solapur,2023,Kharif,Bajra,91.13,463.24,Drought,42.22
Ulhasnagar,2021,Zaid,Rice,76.31,2658.47,Drought,202.87
Malegaon,2021,Kharif,Wheat,10.87,1418.66,Soil Degradation,15.42
Chandrapur,2023,Rabi,Maize,85.64,2905.15,Soil Degradation,248.8
Nashik,2023,Kharif,Maize,26.54,1350.13,Drought,35.83
Gondia,2024,Kharif,Soybean,79.15,1612.06,Soil Degradation,127.59
Nagpur,2021,Kharif,Cotton,78.83,3095.91,Drought,244.05
Yavatmal,2022,Kharif,Cotton,56.06,3742.22,Disease,209.79
Ambarnath,2021,Kharif,Bajra,83.81,3985.19,Drought,334.0
Washim,2024,Rabi,Rice,37.95,3704.17,Disease,140.57
Gondia,2024,Zaid,Rice,66.89,2745.17,Unseasonal Rain,183.62
Yavatmal,2022,Zaid,Bajra,46.98,2492.02,Heatwave,117.08
Latur,2022,Rabi,Rice,6.47,3431.65,Pest Attack,22.2
Thane,2023,Rabi,Sugarcane,93.38,2728.67,Disease,254.8
Nashik,2023,Rabi,Maize,78.14,2925.24,Pest Attack,228.58
Palghar,2021,Kharif,Jowar,60.42,859.5,Disease,51.93
Ichalkaranji,2022,Kharif,Onion,75.79,1967.59,Heatwave,149.12
Yavatmal,2022,Zaid,Cotton,59.55,4490.51,Drought,267.41
Amravati,2023,Rabi,Tur (Pigeon Pea),14.0,2481.8,Drought,34.75
Akola,2022,Rabi,Wheat,30.12,265.84,Flood,8.01
Washim,2023,Kharif,Bajra,73.19,1272.55,Soil Degradation,93.14
Parbhani,2021,Zaid,Tur (Pigeon Pea),25.89,3138.42,Soil Degradation,81.25
Bhusawal,2024,Rabi,Jowar,94.19,2812.67,Drought,264.93
Ulhasnagar,2022,Kharif,Tur (Pigeon Pea),35.77,4091.57,Disease,146.36
Parbhani,2021,Kharif,Bajra,13.18,2866.49,Unseasonal Rain,37.78
Satara,2023,Rabi,Onion,52.4,2794.36,Soil Degradation,146.42
Mira-Bhayandar,2024,Rabi,Bajra,72.75,1029.4,Drought,74.89
Bhandara,2022,Zaid,Soybean,39.47,3219.53,Pest Attack,127.07
Mumbai,2023,Rabi,Cotton,21.51,1451.15,Heatwave,31.21
Bhandara,2022,Zaid,Jowar,6.87,1018.98,Unseasonal Rain,7.0
Bhandara,2022,Rabi,Sugarcane,53.43,1711.28,Heatwave,91.43
Mumbai,2022,Zaid,Rice,75.61,1140.64,Drought,86.24
Nandurbar,2023,Zaid,Rice,6.12,807.82,Pest Attack,4.94
Vasai-Virar,2022,Kharif,Sugarcane,77.22,1826.22,Drought,141.02
Kalyan-Dombivli,2022,Kharif,Maize,46.89,4460.34,Pest Attack,209.15
Pune,2021,Kharif,Maize,78.49,1256.38,Pest Attack,98.61
Latur,2023,Rabi,Bajra,41.02,2866.07,Flood,117.57
Gondia,2021,Zaid,Wheat,51.96,1171.32,Pest Attack,60.86
Ratnagiri,2022,Zaid,Sugarcane,62.28,4697.23,Unseasonal Rain,292.54
Aurangabad,2024,Zaid,Tur (Pigeon Pea),82.64,3261.44,Unseasonal Rain,269.53
Malegaon,2023,Zaid,Maize,57.99,2712.01,Pest Attack,157.27
Mira-Bhayandar,2022,Kharif,Onion,13.69,4969.8,Pest Attack,68.04
Nandurbar,2021,Zaid,Jowar,69.89,1408.35,Flood,98.43
Bhandara,2021,Kharif,Sugarcane,21.37,3276.9,Soil Degradation,70.03
Wardha,2022,Kharif,Cotton,21.88,1715.76,Unseasonal Rain,37.54
Bhandara,2023,Zaid,Sugarcane,16.07,1096.67,Pest Attack,17.62
Palghar,2021,Kharif,Rice,16.04,981.9,Flood,15.75
Yavatmal,2022,Kharif,Jowar,21.69,363.25,Pest Attack,7.88
Solapur,2024,Rabi,Rice,57.03,2326.02,Unseasonal Rain,132.65
Wardha,2021,Rabi,Sugarcane,54.74,4191.55,Heatwave,229.45
Gondia,2022,Zaid,Jowar,68.96,1903.9,Disease,131.29
Kolhapur,2023,Kharif,Sugarcane,70.42,3196.8,Pest Attack,225.12
Sangli,2023,Zaid,Rice,74.65,1321.55,Heatwave,98.65
Jalgaon,2024,Rabi,Rice,41.75,4382.05,Unseasonal Rain,182.95
Ambarnath,2023,Rabi,Cotton,51.41,4393.75,Flood,225.88
Ratnagiri,2022,Rabi,Tur (Pigeon Pea),84.92,114.03,Soil Degradation,9.68
Panvel,2023,Kharif,Wheat,13.26,315.99,Unseasonal Rain,4.19
Chandrapur,2023,Kharif,Wheat,48.4,2391.15,Unseasonal Rain,115.73
Jalna,2022,Kharif,Bajra,68.27,2713.66,Soil Degradation,185.26
Malegaon,2024,Rabi,Maize,88.93,3011.0,Disease,267.77
Nanded,2023,Zaid,Wheat,63.04,4674.85,Drought,294.7
Beed,2024,Kharif,Rice,20.6,4826.83,Pest Attack,99.43
Ambarnath,2024,Kharif,Bajra,78.82,790.09,Heatwave,62.27
Chandrapur,2022,Rabi,Wheat,70.08,4952.95,Heatwave,347.1
Latur,2024,Rabi,Maize,67.87,2280.24,Unseasonal Rain,154.76
Panvel,2023,Zaid,Sugarcane,34.67,4894.81,Unseasonal Rain,169.7
Kalyan-Dombivli,2024,Kharif,Tur (Pigeon Pea),41.88,2239.06,Disease,93.77
Ulhasnagar,2021,Zaid,Wheat,53.68,489.92,Pest Attack,26.3
Hingoli,2021,Zaid,Sugarcane,38.11,1989.37,Soil Degradation,75.81
Ahmednagar,2024,Zaid,Wheat,13.59,1403.22,Unseasonal Rain,19.07
Hingoli,2024,Kharif,Cotton,71.2,2268.85,Pest Attack,161.54
Amravati,2024,Zaid,Jowar,36.22,3521.3,Drought,127.54
Hingoli,2024,Zaid,Jowar,94.92,596.76,Disease,56.64
Sangli,2024,Kharif,Jowar,34.06,1085.44,Disease,36.97
Panvel,2024,Kharif,Jowar,24.84,3611.51,Pest Attack,89.71
Beed,2023,Zaid,Bajra,53.49,2163.5,Soil Degradation,115.73
Bhusawal,2022,Rabi,Soybean,6.28,3785.96,Soil Degradation,23.78
Bhandara,2024,Rabi,Rice,20.95,1580.84,Pest Attack,33.12
Nagpur,2021,Kharif,Sugarcane,16.36,1299.02,Drought,21.25
Mumbai,2022,Rabi,Wheat,73.4,827.8,Soil Degradation,60.76
Bhiwandi,2023,Kharif,Soybean,37.31,4206.34,Pest Attack,156.94
Bhusawal,2022,Zaid,Jowar,42.93,3615.04,Unseasonal Rain,155.19
Dhule,2021,Rabi,Jowar,80.59,3948.39,Soil Degradation,318.2
Satara,2023,Zaid,Maize,62.8,1203.42,Disease,75.57
Osmanabad,2024,Kharif,Sugarcane,50.61,3412.4,Disease,172.7
Ambarnath,2023,Kharif,Cotton,92.62,2263.58,Unseasonal Rain,209.65
Parbhani,2022,Kharif,Bajra,59.9,3565.72,Disease,213.59
Nagpur,2023,Kharif,Jowar,72.88,1316.12,Drought,95.92
Hingoli,2023,Rabi,Maize,19.05,594.11,Unseasonal Rain,11.32
Vasai-Virar,2023,Rabi,Maize,90.57,4397.43,Soil Degradation,398.28
Dhule,2022,Zaid,Bajra,34.62,277.33,Flood,9.6
Navi Mumbai,2023,Kharif,Maize,45.22,2516.79,Pest Attack,113.81
Bhiwandi,2021,Zaid,Sugarcane,38.18,927.49,Pest Attack,35.41
Osmanabad,2021,Zaid,Cotton,74.54,3834.22,Unseasonal Rain,285.8
Chandrapur,2022,Zaid,Cotton,33.22,3580.77,Flood,118.95
Ichalkaranji,2024,Kharif,Sugarcane,55.61,2730.05,Flood,151.82
Bhandara,2023,Kharif,Maize,5.75,4171.63,Pest Attack,23.99
Amravati,2021,Zaid,Jowar,25.57,4348.31,Heatwave,111.19
Kolhapur,2022,Kharif,Maize,85.77,3549.21,Disease,304.42
Parbhani,2022,Rabi,Tur (Pigeon Pea),16.38,3928.34,Drought,64.35
Pune,2024,Zaid,Rice,39.43,326.93,Heatwave,12.89
Ichalkaranji,2022,Rabi,Rice,73.31,4284.63,Flood,314.11
Panvel,2024,Zaid,Bajra,74.83,373.69,Pest Attack,27.96
Mumbai,2022,Kharif,Onion,42.89,3754.26,Flood,161.02
Hingoli,2023,Kharif,Maize,87.87,1626.47,Disease,142.92
Wardha,2023,Kharif,Bajra,67.4,3464.77,Disease,233.53
Washim,2023,Rabi,Onion,83.72,686.73,Soil Degradation,57.49
Ulhasnagar,2023,Rabi,Cotton,84.31,4403.08,Pest Attack,371.22
Navi Mumbai,2021,Kharif,Cotton,50.19,379.42,Heatwave,19.04
Mira-Bhayandar,2022,Kharif,Cotton,47.97,2495.26,Disease,119.7
Vasai-Virar,2022,Zaid,Onion,43.99,4012.32,Pest Attack,176.5
Bhandara,2024,Kharif,Rice,55.34,4047.05,Heatwave,223.96
Hingoli,2022,Zaid,Cotton,37.98,2712.22,Heatwave,103.01
Wardha,2021,Zaid,Cotton,28.19,4864.0,Unseasonal Rain,137.12
Nashik,2024,Rabi,Soybean,18.8,4629.8,Flood,87.04
Bhusawal,2024,Zaid,Rice,19.51,3405.62,Pest Attack,66.44
Washim,2024,Zaid,Bajra,87.32,1539.18,Flood,134.4
Nagpur,2022,Kharif,Bajra,37.06,370.39,Drought,13.73
Mumbai,2024,Rabi,Rice,58.73,1089.02,Disease,63.96
Ahmednagar,2022,Kharif,Cotton,82.06,1449.72,Heatwave,118.96
Washim,2021,Kharif,Maize,80.18,1836.34,Flood,147.24
Chandrapur,2024,Kharif,Tur (Pigeon Pea),36.87,1638.67,Heatwave,60.42
Beed,2021,Kharif,Maize,8.06,899.98,Disease,7.25
Hingoli,2024,Zaid,Cotton,72.16,3926.03,Pest Attack,283.3
Parbhani,2021,Kharif,Wheat,66.01,3554.1,Soil Degradation,234.61
Nanded,2024,Rabi,Wheat,53.01,3797.51,Disease,201.31
Parbhani,2024,Zaid,Rice,58.17,4612.51,Drought,268.31
Thane,2021,Kharif,Onion,79.53,4714.04,Soil Degradation,374.91
Ahmednagar,2024,Zaid,Bajra,63.31,929.66,Flood,58.86
Kolhapur,2024,Rabi,Soybean,27.15,833.6,Disease,22.63
Ambarnath,2023,Kharif,Jowar,88.16,4017.01,Heatwave,354.14
Ahmednagar,2022,Kharif,Onion,89.35,3631.75,Flood,324.5
Solapur,2023,Zaid,Onion,81.3,4346.87,Disease,353.4
Beed,2021,Zaid,Rice,26.12,4496.26,Disease,117.44
Yavatmal,2021,Zaid,Cotton,23.0,2421.33,Flood,55.69
Washim,2021,Zaid,Wheat,12.85,296.97,Pest Attack,3.82
Gondia,2024,Rabi,Rice,92.78,4013.32,Soil Degradation,372.36
Ambarnath,2024,Rabi,Sugarcane,89.13,2872.72,Heatwave,256.05
Gondia,2023,Rabi,Tur (Pigeon Pea),64.08,4632.44,Unseasonal Rain,296.85
Kalyan-Dombivli,2023,Kharif,Rice,54.65,3318.29,Soil Degradation,181.34
Kalyan-Dombivli,2021,Kharif,Bajra,90.85,2722.66,Drought,247.35
Osmanabad,2024,Zaid,Jowar,47.21,1731.38,Heatwave,81.74
Mumbai,2024,Kharif,Onion,71.64,204.05,Unseasonal Rain,14.62
Ratnagiri,2024,Zaid,Rice,52.53,4538.86,Heatwave,238.43
Mira-Bhayandar,2022,Rabi,Cotton,36.49,2594.56,Pest Attack,94.68
Beed,2021,Kharif,Tur (Pigeon Pea),6.88,3827.77,Heatwave,26.34
Ahmednagar,2021,Rabi,Rice,67.53,4064.47,Pest Attack,274.47
Ahmednagar,2022,Rabi,Tur (Pigeon Pea),67.3,4914.31,Pest Attack,330.73
Ulhasnagar,2022,Kharif,Rice,58.06,806.38,Unseasonal Rain,46.82
Ahmednagar,2022,Zaid,Onion,26.65,4256.5,Heatwave,113.44
Kalyan-Dombivli,2023,Zaid,Soybean,5.7,2610.81,Soil Degradation,14.88
Jalgaon,2024,Kharif,Maize,67.81,4465.14,Pest Attack,302.78
Ratnagiri,2023,Zaid,Sugarcane,30.14,2313.28,Heatwave,69.72
Sangli,2024,Kharif,Rice,19.35,3240.63,Soil Degradation,62.71
Amravati,2023,Rabi,Maize,17.93,650.46,Pest Attack,11.66
Jalna,2023,Zaid,Soybean,92.56,3041.07,Pest Attack,281.48
Panvel,2021,Rabi,Maize,66.4,4297.61,Disease,285.36
Akola,2021,Kharif,Onion,94.31,1004.58,Drought,94.74
Ulhasnagar,2021,Rabi,Jowar,27.15,4834.95,Soil Degradation,131.27
Sindhudurg,2022,Rabi,Onion,67.25,4657.03,Soil Degradation,313.19
Mira-Bhayandar,2021,Kharif,Bajra,48.57,764.0,Flood,37.11
Hingoli,2021,Zaid,Maize,79.27,3330.0,Heatwave,263.97
Nanded,2022,Rabi,Maize,11.89,2404.66,Pest Attack,28.59
Latur,2021,Kharif,Onion,84.5,4114.94,Unseasonal Rain,347.71
Palghar,2022,Kharif,Sugarcane,35.01,3870.05,Unseasonal Rain,135.49
Mumbai,2021,Zaid,Sugarcane,62.28,1361.71,Pest Attack,84.81
Latur,2023,Rabi,Jowar,65.15,3984.94,Pest Attack,259.62
Mumbai,2022,Kharif,Sugarcane,29.82,1430.14,Heatwave,42.65
Chandrapur,2022,Kharif,Jowar,28.2,1988.27,Pest Attack,56.07
Pune,2023,Zaid,Jowar,21.36,4307.08,Disease,92.0
Nashik,2023,Rabi,Wheat,73.7,1022.06,Drought,75.33
Ichalkaranji,2024,Rabi,Wheat,13.26,1777.73,Heatwave,23.57
Ambarnath,2024,Kharif,Cotton,60.3,1790.61,Soil Degradation,107.97
Panvel,2023,Zaid,Cotton,79.09,4327.68,Drought,342.28
Ratnagiri,2023,Rabi,Cotton,19.12,2619.35,Heatwave,50.08
Bhusawal,2023,Zaid,Maize,35.94,3816.34,Flood,137.16
Nandurbar,2022,Zaid,Rice,76.88,770.07,Heatwave,59.2
Aurangabad,2024,Kharif,Onion,89.82,202.87,Pest Attack,18.22
Nagpur,2023,Rabi,Cotton,10.89,4055.55,Soil Degradation,44.16
Akola,2023,Kharif,Sugarcane,69.98,3753.22,Soil Degradation,262.65
Pune,2024,Kharif,Maize,69.29,3498.6,Disease,242.42
Jalgaon,2024,Rabi,Bajra,28.3,4269.78,Drought,120.83
Nagpur,2022,Rabi,Jowar,25.74,4530.71,Disease,116.62
Mira-Bhayandar,2024,Zaid,Maize,14.14,662.94,Flood,9.37
