Record_ID,District,Year,Water_Risk_Score,Economic_Risk_Score,Infrastructure_Risk_Score,Composite_Risk_Score,Risk_Category,Primary_Risk_Factor
DR_11237,Mumbai Suburban,2022,9.18,9.97,4.08,8.47,Critical,Unemployment
DR_11238,Raigad,2024,7.81,4.06,1.7,5.09,High,Flood Risk
DR_11239,Solapur,2021,8.99,7.6,9.82,8.6,Critical,Aging Infrastructure
DR_11240,Beed,2021,3.16,7.55,4.14,5.11,High,Inflation Impact
DR_11241,Ahmednagar,2024,9.24,8.3,3.89,7.79,Critical,Drought Susceptibility
DR_11242,Gondia,2024,8.87,10,9.15,9.38,Critical,Industrial Decline
DR_11243,Parbhani,2024,1.64,7.33,3.36,4.26,Medium,Unemployment
DR_11244,Akola,2023,1.42,3.69,3.53,2.75,Medium,Industrial Decline
DR_11245,Mumbai Suburban,2023,3.09,8.71,7.99,6.32,High,Unemployment
DR_11246,Sindhudurg,2020,8.86,8.38,8.95,8.69,Critical,Aging Infrastructure
DR_11247,Aurangabad,2020,9.32,10,3.4,8.41,Critical,Industrial Decline
DR_11248,Thane,2024,5.88,8.72,7.4,7.32,High,Inflation Impact
DR_11249,Solapur,2020,2.59,5.07,9.52,4.97,Medium,Aging Infrastructure
DR_11250,Buldhana,2023,1.65,5.36,9.4,4.68,Medium,Aging Infrastructure
DR_11251,Parbhani,2023,7.06,5.33,5.41,6.04,High,Flood Risk
DR_11252,Nandurbar,2021,9.54,4.71,1.76,6.05,High,Flood Risk
DR_11253,Ahmednagar,2021,9.64,9.2,5.92,8.72,Critical,Groundwater Depletion
DR_11254,Hingoli,2023,4.24,5.07,9.33,5.59,High,Aging Infrastructure
DR_11255,Mumbai City,2022,6.5,9.32,8.47,8.02,Critical,Inflation Impact
DR_11256,Osmanabad,2020,7.2,7.43,3.32,6.52,High,Inflation Impact
DR_11257,Bhandara,2022,3.41,6.35,9.54,5.81,High,Aging Infrastructure
DR_11258,Osmanabad,2020,3.79,4.35,7.25,4.71,Medium,Aging Infrastructure
DR_11259,Hingoli,2024,5.33,7.53,5.85,6.31,High,Inflation Impact
DR_11260,Nagpur,2021,2.21,3.4,1.1,2.46,Low,Inflation Impact
DR_11261,Dhule,2024,4.0,1.09,8.4,3.71,Medium,Aging Infrastructure
DR_11262,Washim,2021,5.38,1.57,7.65,4.31,Medium,Aging Infrastructure
DR_11263,Amravati,2020,7.17,5.23,2.1,5.38,High,Groundwater Depletion
DR_11264,Nanded,2023,9.9,3.73,1.58,5.76,High,Drought Susceptibility
DR_11265,Thane,2021,9.0,10,9.44,9.49,Critical,Inflation Impact
DR_11266,Nandurbar,2022,4.06,4.9,7.59,5.1,High,Aging Infrastructure
DR_11267,Gadchiroli,2020,9.36,5.15,3.74,6.55,High,Flood Risk
DR_11268,Nashik,2023,6.63,5.21,1.58,5.05,High,Groundwater Depletion
DR_11269,Solapur,2023,9.04,10,6.2,8.86,Critical,Inflation Impact
DR_11270,Wardha,2024,9.3,10,5.4,8.8,Critical,Industrial Decline
DR_11271,Hingoli,2023,5.66,9.83,6.65,7.53,Critical,Unemployment
DR_11272,Mumbai Suburban,2022,6.27,3.28,6.92,5.21,High,Aging Infrastructure
DR_11273,Satara,2021,3.01,1.52,5.75,2.96,Medium,Aging Infrastructure
DR_11274,Jalna,2024,5.7,7.03,4.91,6.08,High,Unemployment
DR_11275,Nashik,2021,7.12,3.24,6.01,5.34,High,Groundwater Depletion
DR_11276,Amravati,2023,4.22,4.16,6.75,4.7,Medium,Aging Infrastructure
DR_11277,Kolhapur,2021,2.75,7.17,2.87,4.54,Medium,Industrial Decline
DR_11278,Kolhapur,2022,4.64,4.47,1.23,3.89,Medium,Flood Risk
DR_11279,Chandrapur,2024,8.44,8.54,4.46,7.68,Critical,Unemployment
DR_11280,Mumbai Suburban,2024,7.72,10,5.7,8.23,Critical,Unemployment
DR_11281,Parbhani,2020,5.64,1.64,9.99,4.91,Medium,Aging Infrastructure
DR_11282,Raigad,2020,6.38,9.67,7.79,7.98,Critical,Industrial Decline
DR_11283,Parbhani,2024,8.55,5.54,9.51,7.54,Critical,Aging Infrastructure
DR_11284,Gadchiroli,2022,5.25,5.5,3.84,5.07,High,Unemployment
DR_11285,Mumbai Suburban,2021,2.81,3.19,3.29,3.06,Medium,Aging Infrastructure
DR_11286,Mumbai Suburban,2021,8.41,7.21,1.44,6.54,High,Drought Susceptibility
DR_11287,Beed,2021,7.4,8.93,9.56,8.45,Critical,Aging Infrastructure
DR_11288,Mumbai Suburban,2020,8.95,9.69,3.29,8.11,Critical,Industrial Decline
DR_11289,Akola,2024,7.61,4.81,3.16,5.6,High,Flood Risk
DR_11290,Palghar,2022,7.89,3.87,2.01,5.11,High,Flood Risk
DR_11291,Amravati,2021,4.31,5.45,2.43,4.39,Medium,Unemployment
DR_11292,Gondia,2021,8.5,7.8,1.16,6.75,High,Flood Risk
DR_11293,Buldhana,2020,8.9,5.63,8.02,7.42,High,Drought Susceptibility
DR_11294,Nagpur,2023,8.99,5.02,1.44,5.89,High,Drought Susceptibility
DR_11295,Thane,2020,4.76,4.91,7.13,5.29,High,Aging Infrastructure
DR_11296,Gadchiroli,2022,6.84,2.05,4.41,4.44,Medium,Drought Susceptibility
DR_11297,Jalgaon,2021,4.39,6.56,3.7,5.12,High,Industrial Decline
DR_11298,Mumbai Suburban,2021,3.83,9.79,1.99,5.84,High,Inflation Impact
DR_11299,Raigad,2024,2.62,5.06,6.34,4.34,Medium,Aging Infrastructure
DR_11300,Jalgaon,2021,9.85,10,2.87,8.51,Critical,Unemployment
DR_11301,Akola,2021,9.38,10,9.78,9.71,Critical,Inflation Impact
DR_11302,Buldhana,2022,4.48,9.58,7.33,7.09,High,Industrial Decline
DR_11303,Ahmednagar,2020,7.85,8.72,6.01,7.83,Critical,Inflation Impact
DR_11304,Nashik,2023,6.2,4.78,4.14,5.22,High,Flood Risk
DR_11305,Buldhana,2020,6.21,9.2,2.18,6.6,High,Inflation Impact
DR_11306,Sangli,2022,1.12,1.91,2.16,1.64,Low,Aging Infrastructure
DR_11307,Gondia,2022,9.3,6.27,5.06,7.24,High,Flood Risk
DR_11308,Ahmednagar,2020,9.53,8.8,7.79,8.89,Critical,Drought Susceptibility
DR_11309,Beed,2022,1.82,7.33,1.65,3.99,Medium,Industrial Decline
DR_11310,Washim,2024,8.14,4.62,2.66,5.64,High,Groundwater Depletion
DR_11311,Sindhudurg,2024,3.45,7.6,4.8,5.38,High,Unemployment
DR_11312,Yavatmal,2021,8.55,4.92,2.95,5.98,High,Drought Susceptibility
DR_11313,Nanded,2023,5.8,8.32,1.55,5.96,High,Unemployment
DR_11314,Latur,2024,8.44,7.16,5.4,7.32,High,Groundwater Depletion
DR_11315,Nanded,2021,8.61,4.2,1.91,5.51,High,Drought Susceptibility
DR_11316,Latur,2022,4.23,5.87,3.31,4.7,Medium,Unemployment
DR_11317,Palghar,2020,9.13,3.75,1.42,5.44,High,Drought Susceptibility
DR_11318,Gadchiroli,2024,8.21,9.53,3.68,7.83,Critical,Inflation Impact
DR_11319,Jalgaon,2024,3.35,4.33,2.01,3.48,Medium,Industrial Decline
DR_11320,Gadchiroli,2020,4.05,8.39,2.18,5.41,High,Unemployment
DR_11321,Yavatmal,2023,1.83,3.63,4.4,3.06,Medium,Aging Infrastructure
DR_11322,Ratnagiri,2024,4.35,6.96,3.49,5.22,High,Inflation Impact
DR_11323,Hingoli,2020,6.36,2.11,7.95,4.98,Medium,Aging Infrastructure
DR_11324,Ahmednagar,2023,1.72,8.01,8.47,5.59,High,Aging Infrastructure
DR_11325,Osmanabad,2024,3.04,7.74,3.28,4.97,Medium,Inflation Impact
DR_11326,Sangli,2020,5.89,4.05,5.27,5.03,High,Flood Risk
DR_11327,Pune,2020,6.08,7.08,7.24,6.71,High,Aging Infrastructure
DR_11328,Buldhana,2020,7.85,10,7.96,8.73,Critical,Inflation Impact
DR_11329,Osmanabad,2021,3.9,8.33,8.13,6.52,High,Inflation Impact
DR_11330,Solapur,2020,6.53,7.44,8.7,7.33,High,Aging Infrastructure
DR_11331,Nanded,2024,4.67,9.66,8.83,7.5,Critical,Inflation Impact
DR_11332,Aurangabad,2022,3.36,2.2,8.16,3.86,Medium,Aging Infrastructure
DR_11333,Palghar,2020,9.26,9.74,8.23,9.25,Critical,Unemployment
DR_11334,Yavatmal,2024,3.58,2.0,7.47,3.73,Medium,Aging Infrastructure
DR_11335,Nashik,2024,8.51,6.86,7.75,7.7,Critical,Drought Susceptibility
DR_11336,Hingoli,2022,6.14,4.97,3.96,5.24,High,Groundwater Depletion
DR_11337,Gadchiroli,2024,5.26,9.4,2.94,6.45,High,Industrial Decline
DR_11338,Akola,2021,1.38,4.9,5.36,3.58,Medium,Aging Infrastructure
DR_11339,Bhandara,2024,6.36,1.78,3.72,4.0,Medium,Drought Susceptibility
DR_11340,Mumbai City,2022,1.19,6.81,5.26,4.25,Medium,Industrial Decline
DR_11341,Jalna,2020,3.36,8.0,7.81,6.1,High,Unemployment
DR_11342,Chandrapur,2023,4.89,1.81,7.71,4.22,Medium,Aging Infrastructure
DR_11343,Satara,2021,2.34,7.0,6.31,5.0,Medium,Inflation Impact
DR_11344,Nanded,2023,9.88,8.17,2.79,7.78,Critical,Drought Susceptibility
DR_11345,Thane,2022,8.09,8.98,1.88,7.21,High,Industrial Decline
DR_11346,Pune,2024,9.0,5.76,4.34,6.77,High,Flood Risk
DR_11347,Gadchiroli,2022,7.44,10,3.3,7.64,Critical,Industrial Decline
DR_11348,Sindhudurg,2024,9.01,7.2,7.59,8.0,Critical,Flood Risk
DR_11349,Chandrapur,2023,2.85,1.6,7.04,3.18,Medium,Aging Infrastructure
DR_11350,Washim,2020,3.9,2.56,9.72,4.53,Medium,Aging Infrastructure
DR_11351,Parbhani,2024,8.4,4.83,1.13,5.52,High,Flood Risk
DR_11352,Nashik,2021,7.4,5.41,7.63,6.65,High,Aging Infrastructure
DR_11353,Beed,2024,9.52,5.66,9.55,7.98,Critical,Aging Infrastructure
DR_11354,Satara,2020,5.87,9.13,6.72,7.34,High,Unemployment
DR_11355,Satara,2021,1.41,6.4,5.16,4.16,Medium,Inflation Impact
DR_11356,Bhandara,2023,5.8,1.96,2.34,3.57,Medium,Flood Risk
DR_11357,Parbhani,2021,3.19,5.3,1.5,3.7,Medium,Unemployment
DR_11358,Akola,2022,7.85,4.05,3.4,5.44,High,Drought Susceptibility
DR_11359,Osmanabad,2023,6.05,3.72,6.76,5.26,High,Aging Infrastructure
DR_11360,Gondia,2024,6.46,6.54,7.62,6.73,High,Aging Infrastructure
DR_11361,Gadchiroli,2024,7.92,8.41,5.91,7.71,Critical,Inflation Impact
DR_11362,Gadchiroli,2023,7.42,2.04,2.18,4.22,Medium,Drought Susceptibility
DR_11363,Parbhani,2020,9.25,10,6.31,8.96,Critical,Inflation Impact
DR_11364,Ratnagiri,2021,1.18,9.94,1.05,4.66,Medium,Industrial Decline
DR_11365,Sangli,2024,7.48,8.16,3.87,7.03,High,Unemployment
DR_11366,Mumbai City,2021,4.49,1.99,2.98,3.19,Medium,Drought Susceptibility
DR_11367,Bhandara,2023,2.03,4.5,9.69,4.55,Medium,Aging Infrastructure
DR_11368,Buldhana,2020,3.81,8.81,6.62,6.37,High,Unemployment
DR_11369,Mumbai City,2024,6.03,9.13,6.6,7.38,High,Industrial Decline
DR_11370,Yavatmal,2021,1.94,7.1,8.07,5.23,High,Aging Infrastructure
DR_11371,Beed,2020,8.63,5.21,4.74,6.49,High,Groundwater Depletion
DR_11372,Yavatmal,2024,8.24,3.89,7.88,6.43,High,Drought Susceptibility
DR_11373,Washim,2020,1.86,8.34,1.39,4.36,Medium,Industrial Decline
DR_11374,Hingoli,2022,3.03,5.85,6.84,4.92,Medium,Aging Infrastructure
DR_11375,Ratnagiri,2023,4.99,4.5,8.52,5.5,High,Aging Infrastructure
DR_11376,Aurangabad,2023,8.5,9.03,1.68,7.35,High,Industrial Decline
DR_11377,Yavatmal,2023,1.95,4.8,6.02,3.9,Medium,Aging Infrastructure
DR_11378,Gadchiroli,2022,9.0,9.69,7.57,8.99,Critical,Unemployment
DR_11379,Osmanabad,2024,8.78,8.07,8.9,8.52,Critical,Aging Infrastructure
DR_11380,Chandrapur,2024,2.08,7.65,4.57,4.81,Medium,Industrial Decline
DR_11381,Buldhana,2024,2.87,6.73,7.73,5.39,High,Aging Infrastructure
DR_11382,Akola,2021,4.01,4.81,7.3,4.99,Medium,Aging Infrastructure
DR_11383,Nandurbar,2021,8.08,10,9.36,9.1,Critical,Industrial Decline
DR_11384,Beed,2021,5.22,5.35,5.99,5.43,High,Aging Infrastructure
DR_11385,Sindhudurg,2022,7.0,4.1,1.15,4.67,Medium,Groundwater Depletion
DR_11386,Jalgaon,2020,6.47,8.15,1.14,6.07,High,Unemployment
DR_11387,Gadchiroli,2022,9.78,2.51,5.4,6.0,High,Flood Risk
DR_11388,Parbhani,2024,8.72,2.35,7.09,5.84,High,Drought Susceptibility
DR_11389,Nanded,2021,2.14,3.01,9.72,4.01,Medium,Aging Infrastructure
DR_11390,Jalgaon,2021,3.06,3.29,7.2,3.98,Medium,Aging Infrastructure
DR_11391,Beed,2022,5.34,3.4,5.66,4.63,Medium,Aging Infrastructure
DR_11392,Yavatmal,2022,9.51,6.38,4.38,7.23,High,Groundwater Depletion
DR_11393,Parbhani,2023,5.91,1.15,4.24,3.67,Medium,Groundwater Depletion
DR_11394,Parbhani,2020,3.02,8.96,7.09,6.21,High,Industrial Decline
DR_11395,Thane,2022,5.67,2.94,8.05,5.05,High,Aging Infrastructure
DR_11396,Nashik,2022,1.69,3.38,4.11,2.85,Medium,Aging Infrastructure
DR_11397,Aurangabad,2023,4.77,5.42,8.84,5.85,High,Aging Infrastructure
DR_11398,Ratnagiri,2022,1.04,2.5,8.97,3.21,Medium,Aging Infrastructure
DR_11399,Thane,2022,3.46,7.03,6.4,5.48,High,Unemployment
DR_11400,Dhule,2023,1.61,4.07,1.18,2.51,Medium,Industrial Decline
DR_11401,Raigad,2023,9.34,5.97,5.79,7.28,High,Groundwater Depletion
DR_11402,Wardha,2021,8.27,4.46,6.7,6.43,High,Groundwater Depletion
DR_11403,Nanded,2022,1.88,2.78,4.54,2.77,Medium,Aging Infrastructure
DR_11404,Nandurbar,2020,6.56,7.72,6.88,7.09,High,Inflation Impact
DR_11405,Pune,2024,6.01,9.84,1.6,6.66,High,Unemployment
DR_11406,Aurangabad,2022,2.73,7.9,6.93,5.64,High,Inflation Impact
DR_11407,Dhule,2023,1.53,2.51,3.81,2.38,Low,Aging Infrastructure
DR_11408,Parbhani,2021,3.52,6.4,8.53,5.67,High,Aging Infrastructure
DR_11409,Jalna,2021,1.3,9.95,6.93,5.89,High,Industrial Decline
DR_11410,Akola,2020,9.72,9.27,6.82,8.96,Critical,Drought Susceptibility
DR_11411,Chandrapur,2021,7.15,8.5,7.2,7.7,Critical,Industrial Decline
DR_11412,Palghar,2021,1.56,5.72,5.64,4.04,Medium,Inflation Impact
DR_11413,Parbhani,2023,4.65,3.46,7.32,4.71,Medium,Aging Infrastructure
DR_11414,Washim,2022,6.83,6.32,9.64,7.19,High,Aging Infrastructure
DR_11415,Mumbai City,2023,8.88,8.16,1.09,7.04,High,Flood Risk
DR_11416,Ratnagiri,2021,4.58,2.77,8.24,4.59,Medium,Aging Infrastructure
DR_11417,Buldhana,2024,7.53,6.43,3.14,6.21,High,Drought Susceptibility
DR_11418,Parbhani,2023,9.8,8.53,9.77,9.28,Critical,Drought Susceptibility
DR_11419,Latur,2024,4.43,7.29,5.18,5.72,High,Industrial Decline
DR_11420,Jalgaon,2021,4.94,9.8,1.82,6.26,High,Inflation Impact
DR_11421,Aurangabad,2022,1.62,2.25,7.98,3.15,Medium,Aging Infrastructure
DR_11422,Satara,2022,6.28,5.61,9.54,6.66,High,Aging Infrastructure
DR_11423,Osmanabad,2021,9.85,10,7.59,9.46,Critical,Unemployment
DR_11424,Aurangabad,2024,4.77,8.87,5.99,6.65,High,Industrial Decline
DR_11425,Latur,2022,6.25,1.55,5.43,4.21,Medium,Drought Susceptibility
DR_11426,Osmanabad,2021,1.33,7.52,3.0,4.14,Medium,Inflation Impact
DR_11427,Amravati,2020,2.96,8.0,9.58,6.3,High,Aging Infrastructure
DR_11428,Osmanabad,2023,8.7,9.77,5.14,8.42,Critical,Inflation Impact
DR_11429,Chandrapur,2024,4.15,9.53,3.99,6.27,High,Unemployment
DR_11430,Yavatmal,2022,7.65,7.07,7.68,7.42,High,Aging Infrastructure
DR_11431,Bhandara,2021,4.68,6.33,8.17,6.04,High,Aging Infrastructure
DR_11432,Kolhapur,2021,7.27,5.7,5.4,6.27,High,Drought Susceptibility
DR_11433,Jalgaon,2020,8.86,10,7.08,8.96,Critical,Unemployment
DR_11434,Jalna,2023,6.34,4.23,1.44,4.51,Medium,Drought Susceptibility
DR_11435,Thane,2024,4.3,9.08,5.81,6.51,High,Inflation Impact
DR_11436,Jalna,2021,6.43,1.23,8.56,4.78,Medium,Aging Infrastructure
DR_11437,Gadchiroli,2023,7.8,7.76,3.24,6.87,High,Groundwater Depletion
DR_11438,Palghar,2022,4.35,9.62,8.96,7.38,High,Industrial Decline
DR_11439,Nandurbar,2023,5.44,7.02,3.1,5.61,High,Industrial Decline
DR_11440,Nanded,2022,9.22,8.84,3.75,7.97,Critical,Groundwater Depletion
DR_11441,Nagpur,2022,3.54,8.85,3.36,5.63,High,Industrial Decline
DR_11442,Washim,2020,7.61,6.7,6.36,7.0,High,Flood Risk
DR_11443,Ratnagiri,2020,7.48,8.35,8.0,7.93,Critical,Industrial Decline
DR_11444,Yavatmal,2023,3.16,6.36,7.6,5.33,High,Aging Infrastructure
DR_11445,Mumbai Suburban,2023,2.92,2.35,5.8,3.27,Medium,Aging Infrastructure
DR_11446,Washim,2023,8.47,6.36,5.7,7.07,High,Flood Risk
DR_11447,Latur,2023,7.92,10,3.95,7.96,Critical,Unemployment
DR_11448,Akola,2021,8.66,3.9,7.82,6.59,High,Drought Susceptibility
DR_11449,Ahmednagar,2023,4.28,1.31,2.19,2.67,Medium,Flood Risk
DR_11450,Ratnagiri,2021,7.97,4.59,7.92,6.61,High,Groundwater Depletion
DR_11451,Parbhani,2023,5.5,2.63,5.76,4.4,Medium,Aging Infrastructure
DR_11452,Bhandara,2024,2.6,3.83,8.01,4.18,Medium,Aging Infrastructure
DR_11453,Thane,2022,1.88,8.1,5.78,5.15,High,Inflation Impact
DR_11454,Osmanabad,2023,5.57,7.34,2.4,5.64,High,Industrial Decline
DR_11455,Hingoli,2024,3.04,3.44,5.82,3.75,Medium,Aging Infrastructure
DR_11456,Wardha,2022,1.37,4.57,7.53,3.88,Medium,Aging Infrastructure
DR_11457,Kolhapur,2023,3.67,2.97,1.26,2.91,Medium,Groundwater Depletion
DR_11458,Nanded,2022,4.07,6.69,6.62,5.63,High,Inflation Impact
DR_11459,Mumbai City,2024,6.33,6.75,4.56,6.14,High,Industrial Decline
DR_11460,Nagpur,2020,4.23,8.04,4.79,5.87,High,Unemployment
DR_11461,Gondia,2023,2.32,1.29,7.35,2.91,Medium,Aging Infrastructure
DR_11462,Kolhapur,2022,8.07,5.97,7.79,7.17,High,Flood Risk
DR_11463,Thane,2024,3.53,6.08,8.91,5.63,High,Aging Infrastructure
DR_11464,Latur,2022,1.36,9.83,8.78,6.23,High,Unemployment
DR_11465,Solapur,2022,4.23,4.19,1.1,3.59,Medium,Drought Susceptibility
DR_11466,Nashik,2020,7.59,6.4,2.07,6.01,High,Groundwater Depletion
DR_11467,Gondia,2023,8.43,9.3,4.65,8.02,Critical,Inflation Impact
DR_11468,Washim,2024,7.21,5.15,3.31,5.61,High,Drought Susceptibility
DR_11469,Satara,2022,6.35,9.42,4.46,7.2,High,Unemployment
DR_11470,Sangli,2024,5.08,7.97,5.89,6.4,High,Unemployment
DR_11471,Solapur,2022,8.66,10,6.56,8.78,Critical,Industrial Decline
DR_11472,Parbhani,2021,9.69,8.7,6.43,8.64,Critical,Flood Risk
DR_11473,Nagpur,2020,3.22,8.59,2.7,5.26,High,Inflation Impact
DR_11474,Buldhana,2020,8.41,7.11,2.41,6.69,High,Drought Susceptibility
DR_11475,Ahmednagar,2023,1.88,8.02,4.24,4.81,Medium,Industrial Decline
DR_11476,Latur,2020,4.23,5.25,1.49,4.09,Medium,Inflation Impact
DR_11477,Washim,2024,8.92,7.48,7.21,8.0,Critical,Flood Risk
DR_11478,Nandurbar,2022,5.57,2.58,6.56,4.57,Medium,Aging Infrastructure
DR_11479,Nandurbar,2023,5.77,1.5,5.86,4.08,Medium,Aging Infrastructure
DR_11480,Sindhudurg,2021,1.21,8.95,3.17,4.69,Medium,Unemployment
DR_11481,Raigad,2022,7.58,8.07,9.24,8.11,Critical,Aging Infrastructure
DR_11482,Buldhana,2022,2.55,5.04,5.04,4.05,Medium,Aging Infrastructure
DR_11483,Jalgaon,2024,6.4,6.62,5.95,6.4,High,Unemployment
DR_11484,Amravati,2021,1.95,2.38,4.68,2.67,Medium,Aging Infrastructure
DR_11485,Palghar,2022,5.63,6.01,4.09,5.47,High,Inflation Impact
DR_11486,Jalgaon,2021,8.15,6.94,7.71,7.58,Critical,Groundwater Depletion
DR_11487,Raigad,2021,3.52,1.7,1.49,2.39,Low,Drought Susceptibility
DR_11488,Gondia,2023,6.32,1.84,5.18,4.3,Medium,Drought Susceptibility
DR_11489,Dhule,2020,4.99,8.27,9.15,7.14,High,Aging Infrastructure
DR_11490,Parbhani,2021,9.04,6.25,2.36,6.59,High,Groundwater Depletion
DR_11491,Buldhana,2021,8.28,6.15,7.22,7.22,High,Groundwater Depletion
DR_11492,Wardha,2024,6.69,3.98,5.81,5.43,High,Drought Susceptibility
DR_11493,Jalna,2022,5.84,2.08,1.52,3.47,Medium,Groundwater Depletion
DR_11494,Chandrapur,2022,8.88,8.72,2.8,7.6,Critical,Drought Susceptibility
DR_11495,Latur,2021,1.56,9.54,3.77,5.2,High,Industrial Decline
DR_11496,Palghar,2024,4.23,1.38,1.32,2.51,Medium,Groundwater Depletion
DR_11497,Jalna,2020,2.4,9.17,5.92,5.81,High,Industrial Decline
DR_11498,Dhule,2021,6.63,7.59,6.8,7.05,High,Unemployment
DR_11499,Ratnagiri,2023,5.01,9.04,2.76,6.17,High,Inflation Impact
DR_11500,Dhule,2021,1.96,4.73,8.26,4.33,Medium,Aging Infrastructure
DR_11501,Akola,2020,1.47,6.03,6.28,4.26,Medium,Aging Infrastructure
DR_11502,Gadchiroli,2021,5.96,5.01,8.75,6.14,High,Aging Infrastructure
DR_11503,Wardha,2022,9.76,10,5.66,9.04,Critical,Inflation Impact
DR_11504,Washim,2020,9.33,6.54,7.51,7.85,Critical,Flood Risk
DR_11505,Yavatmal,2023,8.12,10,1.56,7.56,Critical,Industrial Decline
DR_11506,Parbhani,2023,9.88,4.56,8.53,7.48,High,Groundwater Depletion
DR_11507,Ratnagiri,2020,7.18,10,6.13,8.1,Critical,Inflation Impact
DR_11508,Nanded,2023,1.78,8.65,4.16,5.0,High,Inflation Impact
DR_11509,Ahmednagar,2024,5.43,2.91,9.71,5.28,High,Aging Infrastructure
DR_11510,Gadchiroli,2020,7.41,9.83,2.67,7.43,High,Unemployment
DR_11511,Ratnagiri,2021,4.14,6.75,4.8,5.32,High,Industrial Decline
DR_11512,Yavatmal,2020,1.37,7.64,2.27,4.06,Medium,Unemployment
DR_11513,Satara,2022,1.1,9.42,4.02,5.01,High,Unemployment
DR_11514,Nanded,2020,2.0,4.29,5.01,3.52,Medium,Aging Infrastructure
DR_11515,Yavatmal,2023,8.07,10,5.13,8.25,Critical,Industrial Decline
DR_11516,Amravati,2021,5.28,8.62,4.07,6.37,High,Unemployment
DR_11517,Nanded,2020,4.67,1.08,6.93,3.69,Medium,Aging Infrastructure
DR_11518,Mumbai City,2024,8.95,5.03,6.32,6.86,High,Flood Risk
DR_11519,Nanded,2021,6.06,6.92,8.58,6.91,High,Aging Infrastructure
DR_11520,Buldhana,2020,4.91,7.38,6.57,6.23,High,Unemployment
DR_11521,Gadchiroli,2020,4.71,9.57,4.61,6.64,High,Industrial Decline
DR_11522,Washim,2021,7.32,5.84,6.93,6.65,High,Flood Risk
DR_11523,Chandrapur,2023,5.1,8.11,7.35,6.75,High,Inflation Impact
DR_11524,Amravati,2020,3.9,2.49,5.48,3.65,Medium,Aging Infrastructure
DR_11525,Washim,2020,8.7,5.69,2.79,6.31,High,Groundwater Depletion
DR_11526,Nashik,2021,2.37,8.31,8.51,5.97,High,Aging Infrastructure
DR_11527,Nashik,2023,2.78,8.61,7.51,6.06,High,Inflation Impact
DR_11528,Gondia,2024,9.26,2.05,4.69,5.46,High,Groundwater Depletion
DR_11529,Jalgaon,2021,9.24,7.43,3.9,7.45,High,Drought Susceptibility
DR_11530,Nandurbar,2024,8.0,10,8.62,8.92,Critical,Inflation Impact
DR_11531,Jalgaon,2022,6.84,5.84,9.01,6.87,High,Aging Infrastructure
DR_11532,Thane,2023,9.62,2.83,6.57,6.29,High,Drought Susceptibility
DR_11533,Raigad,2021,5.51,2.55,7.07,4.64,Medium,Aging Infrastructure
DR_11534,Palghar,2020,2.89,3.22,8.68,4.18,Medium,Aging Infrastructure
DR_11535,Ahmednagar,2022,1.95,6.83,9.26,5.36,High,Aging Infrastructure
DR_11536,Latur,2022,7.3,6.17,5.71,6.53,High,Drought Susceptibility
DR_11537,Akola,2023,6.45,1.1,3.63,3.74,Medium,Groundwater Depletion
DR_11538,Yavatmal,2023,6.68,1.75,8.27,5.02,High,Aging Infrastructure
DR_11539,Chandrapur,2023,7.81,10,6.59,8.44,Critical,Inflation Impact
DR_11540,Ratnagiri,2023,4.05,9.75,9.11,7.34,High,Unemployment
DR_11541,Nashik,2022,3.71,9.54,9.55,7.21,High,Aging Infrastructure
DR_11542,Beed,2023,5.01,4.65,1.25,4.11,Medium,Groundwater Depletion
DR_11543,Aurangabad,2020,2.55,2.82,2.36,2.62,Medium,Unemployment
DR_11544,Akola,2020,8.68,5.67,8.13,7.37,High,Groundwater Depletion
DR_11545,Mumbai Suburban,2023,8.69,6.77,1.07,6.4,High,Flood Risk
DR_11546,Palghar,2023,4.43,6.71,8.16,6.09,High,Aging Infrastructure
DR_11547,Ahmednagar,2023,4.15,3.09,7.11,4.32,Medium,Aging Infrastructure
DR_11548,Raigad,2024,3.94,3.11,2.26,3.27,Medium,Flood Risk
DR_11549,Amravati,2023,9.13,9.63,6.84,8.87,Critical,Industrial Decline
DR_11550,Jalna,2024,2.4,6.31,8.71,5.22,High,Aging Infrastructure
DR_11551,Yavatmal,2023,3.37,7.84,3.32,5.15,High,Unemployment
DR_11552,Nashik,2021,2.67,8.7,1.32,4.81,Medium,Unemployment
DR_11553,Amravati,2023,2.61,3.66,1.96,2.9,Medium,Inflation Impact
DR_11554,Buldhana,2023,3.31,5.85,2.83,4.23,Medium,Inflation Impact
DR_11555,Osmanabad,2024,8.6,7.95,6.71,7.97,Critical,Flood Risk
DR_11556,Latur,2024,9.84,4.3,5.9,6.84,High,Flood Risk
DR_11557,Osmanabad,2021,2.42,5.34,9.99,5.1,High,Aging Infrastructure
DR_11558,Nashik,2022,8.23,5.03,1.76,5.66,High,Groundwater Depletion
DR_11559,Dhule,2022,9.19,2.03,5.29,5.55,High,Groundwater Depletion
DR_11560,Gadchiroli,2023,2.1,8.5,4.9,5.22,High,Unemployment
DR_11561,Bhandara,2020,2.28,9.71,2.02,5.2,High,Industrial Decline
DR_11562,Ratnagiri,2020,4.69,2.92,9.12,4.87,Medium,Aging Infrastructure
DR_11563,Akola,2024,7.38,8.0,7.97,7.75,Critical,Unemployment
DR_11564,Bhandara,2022,8.42,4.44,4.11,5.96,High,Drought Susceptibility
