City,Date,Water_Stress_Index,Availability_Liters_Per_Capita,Demand_Liters_Per_Capita,Groundwater_Level_Meters,Risk_Category
Malegaon,2025-05-01,9.82,41,127,54.2,Extremely High
Thane,2024-06-09,7.29,25,173,34.2,High
Bhiwandi,2025-12-30,7.71,26,179,47.3,High
Sindhudurg,2024-03-02,2.6,110,165,42.8,Medium
Latur,2024-01-29,9.48,100,162,44.2,Extremely High
Malegaon,2024-02-17,3.38,46,145,39.2,Medium
Pune,2023-05-04,2.77,116,182,28.7,Medium
Ahmednagar,2023-01-01,1.1,90,174,48.9,Low
Bhiwandi,2024-07-06,6.93,104,149,67.0,High
Ahmednagar,2024-10-19,6.43,62,182,24.4,High
Mira-Bhayandar,2023-05-10,9.34,66,184,68.5,Extremely High
Kalyan-Dombivli,2024-02-01,9.33,36,169,60.9,Extremely High
Beed,2025-04-27,5.63,65,142,55.4,High
Nagpur,2024-07-27,6.55,63,159,39.2,High
Jalna,2024-03-10,7.45,38,177,60.2,High
Nashik,2025-02-13,8.15,34,158,57.8,Extremely High
Panvel,2023-04-15,3.17,129,106,34.9,Medium
Navi Mumbai,2023-12-29,6.79,36,184,50.3,High
Pune,2023-12-06,5.2,92,125,57.6,High
Beed,2024-04-25,1.65,134,158,34.4,Low
Mumbai,2025-08-09,2.66,45,137,17.6,Medium
Navi Mumbai,2025-06-24,9.5,54,137,69.0,Extremely High
Ahmednagar,2024-03-30,9.89,74,128,76.8,Extremely High
Nandurbar,2024-08-10,8.88,44,158,44.4,Extremely High
Pune,2023-06-12,7.48,14,133,66.5,High
Ratnagiri,2023-09-18,6.24,81,159,40.9,High
Beed,2025-09-17,1.56,87,141,22.0,Low
Malegaon,2024-12-22,6.61,18,176,29.6,High
Bhusawal,2024-03-27,3.16,60,120,44.9,Medium
Thane,2023-11-01,9.62,24,125,36.2,Extremely High
Sindhudurg,2023-11-16,6.33,61,191,47.6,High
Pune,2023-10-13,9.74,20,152,70.9,Extremely High
Osmanabad,2024-09-12,6.45,113,134,42.0,High
Amravati,2023-06-16,5.75,88,177,24.8,High
Bhiwandi,2023-12-08,7.37,49,132,37.7,High
Gondia,2023-09-10,2.9,42,137,37.1,Medium
Nashik,2025-09-16,6.44,66,136,46.1,High
Ichalkaranji,2023-10-25,2.75,45,139,43.2,Medium
Sangli,2023-07-10,7.05,102,129,52.0,High
Mumbai,2024-02-21,9.52,10,150,52.6,Extremely High
Palghar,2025-06-01,5.71,112,185,50.4,High
Ichalkaranji,2025-01-17,5.11,81,147,25.6,High
Latur,2024-02-28,1.92,45,115,23.7,Low
Ahmednagar,2025-10-01,8.7,81,160,63.0,Extremely High
Malegaon,2025-03-28,9.67,86,163,67.9,Extremely High
Hingoli,2024-07-27,5.91,117,134,65.2,High
Jalgaon,2023-08-27,3.27,96,150,51.7,Medium
Nanded,2024-10-14,4.8,115,117,51.3,Medium
Gondia,2023-04-13,8.92,15,145,53.9,Extremely High
Bhusawal,2023-09-03,4.42,44,183,47.2,Medium
Gondia,2023-10-20,8.75,78,119,51.3,Extremely High
Sangli,2025-07-18,9.74,21,189,42.2,Extremely High
Bhiwandi,2024-11-26,4.03,104,183,27.5,Medium
Wardha,2023-11-27,2.19,57,121,17.9,Low
Bhusawal,2024-07-15,4.1,94,184,54.1,Medium
Kalyan-Dombivli,2024-04-28,8.44,58,160,73.8,Extremely High
Sindhudurg,2025-07-06,7.55,51,124,53.1,High
Kolhapur,2024-03-29,7.2,99,156,55.5,High
Satara,2024-06-26,2.78,87,148,18.8,Medium
Nandurbar,2025-02-23,6.84,80,173,40.0,High
Panvel,2024-06-03,5.8,94,118,60.8,High
Sindhudurg,2025-07-23,8.17,93,124,37.1,Extremely High
Chandrapur,2025-11-11,8.39,48,153,42.6,Extremely High
Kolhapur,2025-04-25,1.37,91,136,53.7,Low
Yavatmal,2023-04-21,6.64,29,125,32.4,High
Amravati,2024-06-10,9.62,31,192,62.0,Extremely High
Hingoli,2023-05-30,9.68,55,126,78.1,Extremely High
Sangli,2024-04-19,3.14,98,133,50.9,Medium
Aurangabad,2024-08-01,3.25,57,181,23.7,Medium
Nandurbar,2024-06-03,5.01,72,119,44.2,High
Gondia,2025-10-08,7.83,87,119,64.9,High
Sindhudurg,2025-01-11,6.5,26,158,31.4,High
Bhiwandi,2025-11-16,8.59,51,143,41.5,Extremely High
Kalyan-Dombivli,2023-09-26,6.99,51,171,69.5,High
Bhandara,2023-11-24,1.98,119,104,53.1,Low
Nagpur,2023-04-19,3.29,39,133,44.1,Medium
Nanded,2024-11-08,3.42,82,175,34.7,Medium
Ulhasnagar,2024-01-19,4.94,55,126,38.8,Medium
Mumbai,2024-05-09,3.11,61,171,37.9,Medium
Thane,2025-10-04,7.47,60,121,50.0,High
Washim,2023-03-09,3.01,106,175,18.0,Medium
Jalna,2025-12-26,5.67,23,143,57.9,High
Hingoli,2023-10-08,1.55,117,167,53.9,Low
Ambarnath,2025-03-04,6.39,58,165,37.0,High
Nagpur,2024-05-10,4.17,123,112,24.7,Medium
Latur,2025-07-25,2.34,74,154,32.0,Low
Malegaon,2024-07-12,6.51,60,171,36.3,High
Sindhudurg,2025-09-01,8.12,18,153,30.5,Extremely High
Mira-Bhayandar,2025-10-03,5.75,105,164,27.9,High
Parbhani,2024-10-11,7.15,47,178,69.6,High
Mumbai,2024-07-17,5.31,57,144,48.1,High
Sindhudurg,2023-06-08,6.2,111,191,65.6,High
Ahmednagar,2025-03-31,1.1,104,178,8.7,Low
Ambarnath,2025-10-12,4.4,97,155,32.0,Medium
Sindhudurg,2024-09-03,8.44,51,159,42.6,Extremely High
Yavatmal,2023-08-31,4.87,50,175,20.9,Medium
Panvel,2023-06-12,6.93,86,144,59.8,High
Solapur,2025-10-13,3.22,34,182,26.2,Medium
Bhandara,2025-07-30,4.11,69,144,49.4,Medium
Amravati,2024-02-21,5.01,99,146,62.5,High
Gondia,2024-10-09,3.61,36,136,57.5,Medium
Palghar,2025-06-19,4.87,86,185,54.2,Medium
Washim,2023-08-29,1.96,43,114,13.0,Low
Wardha,2023-12-22,2.14,135,112,12.8,Low
Washim,2023-08-22,6.43,74,185,55.1,High
Wardha,2024-03-26,7.59,41,160,49.8,High
Jalgaon,2023-05-31,3.19,81,109,29.3,Medium
Satara,2024-08-05,1.47,87,127,15.8,Low
Ahmednagar,2024-10-14,1.36,70,106,32.4,Low
Amravati,2024-05-21,6.4,42,134,59.3,High
Kalyan-Dombivli,2023-12-10,3.34,67,162,31.3,Medium
Yavatmal,2025-10-22,5.89,21,120,57.1,High
Malegaon,2024-02-28,1.31,50,143,36.4,Low
Washim,2024-07-22,1.38,44,121,49.5,Low
Vasai-Virar,2024-03-28,8.23,95,120,71.9,Extremely High
Pune,2024-04-07,4.19,126,124,57.5,Medium
Ichalkaranji,2024-02-22,1.21,115,135,48.8,Low
Jalna,2025-06-14,2.77,40,181,45.7,Medium
Jalgaon,2024-02-28,1.51,52,116,26.2,Low
Navi Mumbai,2024-01-12,8.35,77,173,58.8,Extremely High
Nagpur,2025-01-04,2.32,129,167,50.2,Low
Ulhasnagar,2025-05-24,7.99,12,163,70.2,High
Ratnagiri,2024-06-17,9.02,71,158,65.5,Extremely High
Mumbai,2024-09-16,3.75,129,172,35.0,Medium
Satara,2023-08-26,9.35,51,137,56.9,Extremely High
Kalyan-Dombivli,2023-06-27,5.58,30,175,33.9,High
Nagpur,2025-07-10,7.75,76,145,41.0,High
Solapur,2024-07-17,9.03,32,128,50.5,Extremely High
Jalna,2025-10-16,9.49,6,132,41.7,Extremely High
Bhiwandi,2024-09-16,4.1,111,119,27.8,Medium
Amravati,2023-04-19,7.63,95,139,50.1,High
Palghar,2025-10-20,6.09,29,156,44.5,High
Nandurbar,2024-02-14,7.69,88,134,67.4,High
Nanded,2025-10-08,8.84,70,168,63.0,Extremely High
Aurangabad,2025-03-27,9.6,13,129,63.9,Extremely High
Dhule,2024-02-29,3.04,44,110,22.8,Medium
Beed,2024-10-16,6.0,98,161,46.9,High
Bhiwandi,2024-07-11,7.9,55,155,69.3,High
Aurangabad,2025-08-04,8.42,82,146,43.6,Extremely High
Satara,2024-03-14,2.13,42,144,16.3,Low
Panvel,2023-03-11,1.47,52,181,23.5,Low
Satara,2023-05-17,1.45,98,129,10.6,Low
Nanded,2025-10-12,9.8,31,159,40.7,Extremely High
Osmanabad,2023-01-27,4.18,45,141,29.8,Medium
Ratnagiri,2024-04-03,5.79,32,124,38.0,High
Gondia,2025-08-11,5.66,68,161,46.4,High
Aurangabad,2023-07-29,3.58,38,131,41.2,Medium
Panvel,2025-12-15,7.29,46,118,47.9,High
Yavatmal,2025-10-01,4.8,75,123,43.7,Medium
Hingoli,2024-04-19,2.06,112,177,24.5,Low
Satara,2023-05-24,5.14,46,167,21.5,High
Ratnagiri,2025-03-26,7.03,104,174,34.7,High
Satara,2025-11-27,5.54,76,171,62.9,High
Mumbai,2023-06-16,3.67,80,151,56.8,Medium
Bhusawal,2023-09-14,1.16,64,168,39.8,Low
Vasai-Virar,2024-03-18,9.5,49,132,72.4,Extremely High
Chandrapur,2024-04-06,6.27,89,114,44.8,High
Palghar,2023-03-17,8.17,64,180,51.3,Extremely High
Thane,2023-10-11,7.88,56,169,72.7,High
Hingoli,2023-09-29,6.97,108,150,34.5,High
Aurangabad,2024-03-05,7.18,31,176,69.8,High
Satara,2023-08-22,5.18,103,122,32.0,High
Washim,2023-02-28,5.59,118,189,62.0,High
Nagpur,2024-04-13,7.26,86,174,37.9,High
Ichalkaranji,2025-03-12,5.38,67,155,47.3,High
Solapur,2024-08-30,9.83,83,121,39.0,Extremely High
Beed,2024-10-02,1.81,55,182,11.1,Low
Amravati,2023-08-08,3.3,60,148,22.2,Medium
Ratnagiri,2023-12-16,4.97,110,129,58.1,Medium
Mira-Bhayandar,2024-03-19,1.23,44,118,16.2,Low
Vasai-Virar,2024-09-15,3.21,88,112,59.6,Medium
Dhule,2023-07-01,7.8,100,125,42.3,High
Ratnagiri,2024-03-29,7.34,67,115,46.2,High
Wardha,2023-05-10,7.1,40,165,42.5,High
Panvel,2023-05-31,9.27,101,129,43.1,Extremely High
Panvel,2024-08-21,9.9,78,150,38.2,Extremely High
Mumbai,2024-01-09,6.32,26,148,40.3,High
Hingoli,2023-12-02,3.34,45,137,19.5,Medium
Nagpur,2023-03-07,4.18,124,182,50.5,Medium
Kalyan-Dombivli,2025-05-23,6.21,95,163,30.1,High
Satara,2025-11-06,5.89,84,182,38.6,High
Osmanabad,2023-10-10,2.62,40,122,51.9,Medium
Gondia,2023-12-07,7.1,98,164,54.4,High
Ichalkaranji,2024-09-07,3.41,66,174,42.7,Medium
Dhule,2024-10-03,1.85,73,152,23.5,Low
Sindhudurg,2025-04-07,7.74,84,164,34.3,High
Dhule,2023-05-15,8.4,17,147,31.9,Extremely High
Nagpur,2025-01-31,8.94,62,130,58.8,Extremely High
Jalna,2025-03-15,9.51,47,162,75.5,Extremely High
Malegaon,2025-02-21,7.21,31,192,53.4,High
Nashik,2025-07-13,9.34,70,144,71.5,Extremely High
Parbhani,2024-10-15,8.83,97,124,55.2,Extremely High
Mumbai,2023-06-08,4.02,30,177,26.7,Medium
Latur,2024-06-09,6.32,19,126,28.9,High
Nagpur,2024-07-12,7.77,33,137,63.8,High
Osmanabad,2024-03-04,8.03,31,193,53.6,Extremely High
Panvel,2023-11-11,5.12,112,131,29.4,High
Osmanabad,2024-08-15,7.73,18,124,50.4,High
Solapur,2023-07-14,2.65,39,116,54.0,Medium
Pune,2024-06-11,2.25,102,182,21.5,Low
Nandurbar,2025-03-12,8.12,94,146,56.0,Extremely High
Akola,2024-10-18,5.58,65,116,57.4,High
Nashik,2024-07-28,6.79,62,192,31.1,High
Navi Mumbai,2025-04-05,5.48,104,121,54.6,High
Akola,2025-02-11,5.3,80,147,21.2,High
Sindhudurg,2024-06-02,4.78,48,176,41.6,Medium
Bhiwandi,2024-02-12,6.84,15,175,51.4,High
Ahmednagar,2023-08-22,4.81,77,155,52.7,Medium
Wardha,2024-06-27,2.36,125,104,18.5,Low
Yavatmal,2025-03-07,2.76,134,122,20.9,Medium
Sangli,2023-02-04,8.53,45,184,71.9,Extremely High
Jalna,2023-09-27,3.13,47,129,34.6,Medium
Nanded,2025-10-16,2.14,64,134,45.6,Low
Parbhani,2025-04-29,8.75,65,148,56.0,Extremely High
Kolhapur,2023-03-17,7.6,86,122,56.4,High
Akola,2024-05-05,7.51,75,118,72.2,High
Pune,2025-03-16,7.01,50,165,64.3,High
Beed,2024-07-26,5.16,67,136,22.6,High
Akola,2024-10-18,3.0,93,141,24.2,Medium
Satara,2023-09-24,8.23,75,136,48.6,Extremely High
Ichalkaranji,2023-04-10,3.92,60,124,17.0,Medium
Solapur,2024-06-25,3.38,35,122,41.7,Medium
Hingoli,2024-01-28,5.91,93,188,55.7,High
Pune,2024-10-19,9.36,52,120,66.9,Extremely High
Sangli,2023-05-02,1.31,111,105,25.5,Low
Bhandara,2023-10-25,3.34,35,132,40.5,Medium
Parbhani,2024-06-10,3.92,47,114,54.4,Medium
Pune,2023-10-05,3.88,37,181,32.5,Medium
Nashik,2024-04-30,3.05,55,160,29.6,Medium
Parbhani,2025-09-29,7.57,67,131,41.2,High
Jalgaon,2023-11-25,6.41,65,181,36.6,High
Washim,2024-09-01,5.18,77,131,40.3,High
Palghar,2023-04-26,7.55,29,161,63.4,High
Ambarnath,2025-06-28,5.34,42,149,60.5,High
Jalna,2025-04-28,2.68,87,135,49.9,Medium
Jalgaon,2023-01-04,4.84,68,120,42.0,Medium
Parbhani,2025-04-19,4.71,79,184,54.4,Medium
Aurangabad,2023-02-21,3.79,101,126,18.4,Medium
Kolhapur,2024-09-26,3.67,60,110,37.2,Medium
Wardha,2025-07-24,2.36,64,178,28.9,Low
Latur,2023-02-26,6.93,59,167,53.6,High
Nagpur,2024-07-29,4.45,79,112,41.4,Medium
Gondia,2023-03-26,5.19,117,140,28.6,High
Amravati,2025-12-28,4.64,70,145,40.8,Medium
Sindhudurg,2024-03-13,8.68,20,167,55.3,Extremely High
Mira-Bhayandar,2025-08-23,5.15,62,151,61.5,High
Satara,2025-02-21,3.28,100,135,20.4,Medium
Ambarnath,2023-04-18,7.81,98,149,31.9,High
Solapur,2025-07-11,8.18,56,157,58.0,Extremely High
Jalna,2023-03-30,4.5,61,152,37.9,Medium
Ambarnath,2023-03-11,5.04,51,145,29.8,High
Solapur,2025-02-05,4.71,43,156,40.6,Medium
Akola,2024-06-25,3.12,80,123,34.8,Medium
Vasai-Virar,2023-07-22,4.57,28,163,44.6,Medium
Amravati,2025-07-05,7.41,41,171,59.9,High
Bhandara,2024-03-05,5.78,68,138,37.1,High
Bhusawal,2025-09-26,9.21,12,159,72.5,Extremely High
Amravati,2024-01-29,4.74,114,179,63.2,Medium
Ichalkaranji,2023-12-07,2.86,88,166,57.6,Medium
Thane,2025-11-27,2.36,42,164,23.4,Low
Dhule,2025-11-09,7.85,60,121,67.2,High
Aurangabad,2024-12-11,9.44,59,167,49.9,Extremely High
Ichalkaranji,2024-06-24,8.37,100,153,71.6,Extremely High
Nashik,2023-06-16,5.57,54,180,55.0,High
Satara,2024-08-01,2.9,57,173,37.7,Medium
Latur,2024-06-04,1.32,129,107,31.3,Low
Pune,2023-05-18,1.96,57,173,26.6,Low
Panvel,2025-12-30,8.4,29,171,54.6,Extremely High
Ahmednagar,2024-06-13,3.81,116,149,48.9,Medium
Washim,2024-08-27,8.13,34,146,56.5,Extremely High
Nashik,2024-09-05,1.2,130,151,43.5,Low
Bhiwandi,2025-04-25,2.89,53,120,47.0,Medium
Sindhudurg,2025-06-01,7.45,65,147,36.0,High
Kolhapur,2024-02-07,4.68,117,119,22.5,Medium
Mira-Bhayandar,2023-02-13,4.03,29,141,59.9,Medium
Nagpur,2025-06-12,4.98,102,124,60.9,Medium
Nanded,2023-12-21,3.05,101,165,44.6,Medium
Yavatmal,2023-03-13,8.88,53,140,32.8,Extremely High
Jalgaon,2025-03-15,7.5,12,136,40.9,High
Osmanabad,2023-06-10,9.24,88,138,49.2,Extremely High
Kalyan-Dombivli,2023-06-10,3.06,75,176,20.5,Medium
Beed,2025-12-31,2.1,39,174,45.0,Low
Malegaon,2023-07-20,9.12,59,166,35.9,Extremely High
Jalgaon,2024-01-09,6.85,86,152,33.6,High
Nagpur,2023-03-04,8.89,22,130,35.6,Extremely High
Nanded,2025-03-03,7.85,22,123,71.6,High
Kolhapur,2025-08-07,5.78,100,183,26.0,High
Ulhasnagar,2023-05-09,8.94,91,160,66.2,Extremely High
Sangli,2024-11-07,3.51,56,120,25.6,Medium
Bhiwandi,2024-04-20,4.21,103,115,60.5,Medium
Ulhasnagar,2024-09-08,3.15,96,173,17.8,Medium
Jalgaon,2023-11-09,2.47,129,183,47.7,Low
Satara,2023-02-16,2.19,75,174,39.5,Low
Beed,2024-01-19,3.66,92,151,29.9,Medium
Thane,2023-09-27,4.63,42,147,23.6,Medium
Satara,2024-04-21,1.83,117,168,53.7,Low
Vasai-Virar,2023-09-13,4.79,77,142,55.8,Medium
Kalyan-Dombivli,2024-11-06,7.24,97,115,53.6,High
Sangli,2024-10-02,9.05,71,132,68.8,Extremely High
Sangli,2024-02-20,4.22,55,181,29.0,Medium
Akola,2025-09-23,5.17,106,188,63.9,High
Palghar,2024-02-15,5.56,50,131,45.4,High
Thane,2023-02-18,3.94,72,173,59.5,Medium
Gondia,2023-06-19,6.57,89,168,55.4,High
Yavatmal,2024-04-05,2.28,67,156,20.3,Low
Ahmednagar,2024-12-27,5.06,49,131,52.6,High
Ambarnath,2023-06-05,3.16,126,174,43.6,Medium
Nagpur,2023-09-07,2.36,109,155,27.6,Low
Bhusawal,2023-10-03,3.69,95,163,19.6,Medium
Thane,2023-08-27,9.49,60,165,43.8,Extremely High
Satara,2025-08-09,1.57,53,126,29.7,Low
Sangli,2024-08-17,4.57,93,159,57.9,Medium
Satara,2023-09-18,9.84,81,157,49.1,Extremely High
Bhandara,2023-05-06,6.79,37,162,39.7,High
Nandurbar,2023-10-10,8.13,48,128,31.7,Extremely High
Hingoli,2025-09-26,6.54,67,128,55.0,High
Sangli,2023-07-16,2.29,118,145,54.2,Low
Nagpur,2025-12-06,3.42,102,164,41.7,Medium
Aurangabad,2023-11-03,5.6,116,133,58.2,High
Chandrapur,2023-09-08,6.2,75,121,65.6,High
Pune,2025-11-11,5.51,88,164,48.2,High
Ulhasnagar,2023-01-14,4.6,58,125,22.2,Medium
Thane,2024-05-21,9.75,26,192,71.8,Extremely High
Akola,2024-08-29,6.06,74,189,48.0,High
Amravati,2024-05-16,4.6,87,125,28.6,Medium
Malegaon,2024-06-26,2.3,124,171,21.0,Low
Kolhapur,2025-04-04,8.65,75,178,69.3,Extremely High
Parbhani,2025-07-28,1.83,110,128,27.9,Low
Thane,2024-09-18,4.39,66,168,29.8,Medium
Ratnagiri,2023-01-24,8.19,68,146,52.6,Extremely High
Akola,2025-02-07,8.64,55,142,50.8,Extremely High
Gondia,2024-09-02,6.45,55,183,67.7,High
Nanded,2025-10-01,3.23,126,139,55.5,Medium
Ahmednagar,2023-11-25,7.07,93,178,69.2,High
Latur,2023-01-07,4.4,106,130,46.4,Medium
Sindhudurg,2023-05-17,4.56,83,149,25.8,Medium
Gondia,2024-07-31,3.95,32,158,47.3,Medium
Bhusawal,2025-01-10,3.5,126,172,41.5,Medium
Jalgaon,2023-05-15,1.28,74,156,13.0,Low
Malegaon,2025-01-01,3.41,105,128,25.0,Medium
Ulhasnagar,2024-07-23,1.82,127,125,28.2,Low
Nanded,2024-12-13,2.16,129,110,51.4,Low
Nagpur,2024-10-16,6.74,96,124,60.3,High
Pune,2023-03-23,7.21,47,171,41.1,High
Solapur,2024-03-25,7.68,57,185,67.8,High
Amravati,2023-05-06,4.55,47,152,28.5,Medium
Palghar,2025-12-07,1.9,131,129,51.9,Low
Aurangabad,2025-07-02,8.04,24,122,55.7,Extremely High
Nashik,2023-08-24,5.36,75,166,60.7,High
Beed,2023-04-14,3.29,41,156,50.4,Medium
Ichalkaranji,2024-05-16,1.1,66,180,16.1,Low
Beed,2024-07-10,4.63,77,120,22.5,Medium
Yavatmal,2024-06-30,5.91,57,118,31.3,High
Mira-Bhayandar,2025-12-11,5.92,20,119,48.4,High
Beed,2024-10-31,3.47,44,132,46.4,Medium
Bhandara,2025-04-25,9.7,75,176,40.7,Extremely High
Gondia,2025-01-04,2.38,43,170,20.0,Low
Vasai-Virar,2025-04-28,7.53,96,171,55.6,High
Chandrapur,2025-02-10,1.48,54,103,47.1,Low
Nanded,2024-01-31,8.87,74,122,48.1,Extremely High
Jalgaon,2023-08-09,6.38,93,163,67.7,High
Osmanabad,2024-07-24,1.61,128,160,35.5,Low
Ahmednagar,2023-04-11,5.0,124,169,61.2,High
Yavatmal,2024-11-26,5.63,94,162,31.1,High
Ambarnath,2023-07-01,9.76,76,168,70.1,Extremely High
Beed,2024-12-06,6.03,27,168,52.4,High
Nanded,2024-06-01,2.71,85,119,37.1,Medium
Akola,2023-09-22,3.21,115,144,38.8,Medium
Beed,2023-07-09,7.13,58,140,56.4,High
Dhule,2023-07-01,3.2,59,178,43.9,Medium
Mira-Bhayandar,2023-10-14,8.56,9,179,70.1,Extremely High
Mira-Bhayandar,2023-09-23,7.2,106,124,65.7,High
Osmanabad,2025-10-05,6.1,108,138,48.4,High
Chandrapur,2024-03-15,3.07,124,117,47.2,Medium
Latur,2023-04-21,3.99,51,184,29.8,Medium
Amravati,2023-02-04,8.54,86,124,62.9,Extremely High
Yavatmal,2023-03-09,3.03,76,159,43.2,Medium
Panvel,2023-06-12,6.4,47,164,63.6,High
Ambarnath,2024-01-26,8.27,49,155,71.9,Extremely High
Beed,2024-02-04,2.63,112,164,38.1,Medium
Ambarnath,2024-11-10,3.16,121,107,58.4,Medium
Parbhani,2025-07-09,3.82,77,120,58.9,Medium
Dhule,2023-03-01,6.5,101,130,67.8,High
Hingoli,2024-09-18,2.53,117,164,34.7,Medium
Solapur,2025-11-10,8.33,92,133,46.3,Extremely High
Parbhani,2024-03-27,2.1,136,154,21.8,Low
Sangli,2023-02-28,3.56,56,129,24.0,Medium
Jalna,2024-07-02,9.24,4,181,39.6,Extremely High
Nagpur,2025-07-10,8.45,63,167,67.4,Extremely High
Palghar,2023-05-19,7.29,72,116,41.7,High
Nashik,2024-04-21,1.55,108,136,10.4,Low
Vasai-Virar,2023-05-15,2.83,70,181,37.3,Medium
Nandurbar,2023-05-20,7.48,93,188,62.8,High
Bhandara,2025-09-27,2.2,135,178,35.5,Low
Washim,2023-07-03,7.69,107,142,39.7,High
Navi Mumbai,2025-09-04,4.65,71,161,55.5,Medium
Bhiwandi,2024-03-03,4.8,125,176,22.7,Medium
Latur,2023-06-03,3.75,32,170,35.9,Medium
Solapur,2025-09-11,6.22,78,160,64.1,High
Ambarnath,2023-01-05,2.91,39,114,31.2,Medium
Washim,2024-06-02,6.81,25,146,68.7,High
Washim,2025-09-07,3.54,92,173,27.1,Medium
Yavatmal,2023-10-11,1.76,56,167,52.5,Low
Ulhasnagar,2023-05-29,9.05,74,186,39.3,Extremely High
Palghar,2025-12-13,4.05,42,184,26.0,Medium
Chandrapur,2023-02-09,2.38,75,119,56.8,Low
Akola,2023-06-21,3.02,132,111,33.4,Medium
Sindhudurg,2024-04-22,1.71,91,118,35.7,Low
Chandrapur,2024-06-01,1.72,87,172,12.6,Low
Washim,2023-01-14,1.92,99,124,28.1,Low
Bhusawal,2024-06-12,6.11,105,130,49.2,High
Vasai-Virar,2023-12-09,7.99,48,194,37.5,High
Mumbai,2024-12-06,4.8,115,169,24.6,Medium
Jalgaon,2025-03-12,6.44,88,137,24.6,High
Kalyan-Dombivli,2024-05-16,2.05,101,117,19.2,Low
Akola,2024-10-26,2.42,135,125,51.1,Low
Yavatmal,2025-09-12,1.16,142,169,41.8,Low
Latur,2023-04-03,3.31,89,110,43.3,Medium
Thane,2023-12-18,4.95,30,149,50.1,Medium
Aurangabad,2025-11-24,6.58,73,191,41.1,High
Sindhudurg,2024-07-09,8.37,89,144,68.5,Extremely High
Ratnagiri,2025-07-20,5.82,77,138,62.1,High
Solapur,2024-10-10,4.36,54,186,31.1,Medium
Latur,2024-09-03,7.97,72,159,59.3,High
Amravati,2025-06-30,4.59,104,129,61.1,Medium
Ambarnath,2024-08-26,1.29,65,163,9.1,Low
Panvel,2024-09-22,8.44,89,154,35.8,Extremely High
Palghar,2025-09-25,6.48,79,134,56.9,High
Satara,2025-12-18,8.69,84,164,50.2,Extremely High
Ratnagiri,2023-10-13,1.18,76,128,17.4,Low
Beed,2023-01-29,9.8,63,157,46.4,Extremely High
Vasai-Virar,2023-10-09,6.18,97,152,37.8,High
Mira-Bhayandar,2025-10-12,6.57,93,189,30.4,High
Ichalkaranji,2024-08-27,6.01,59,117,26.9,High
Solapur,2025-09-01,6.76,24,171,67.4,High
Kolhapur,2025-08-02,3.64,85,186,57.8,Medium
Nandurbar,2024-06-28,8.05,58,124,38.4,Extremely High
Beed,2023-07-08,7.12,44,126,53.0,High
Malegaon,2025-06-18,1.32,131,166,9.3,Low
Parbhani,2025-08-04,5.86,52,143,61.7,High
Osmanabad,2023-07-09,8.97,62,122,48.0,Extremely High
Gondia,2024-02-10,2.52,69,106,51.6,Medium
Beed,2025-05-22,4.91,70,159,45.3,Medium
Jalgaon,2023-11-17,3.36,37,112,21.4,Medium
Aurangabad,2023-11-03,2.14,108,106,19.2,Low
Bhandara,2025-12-14,9.61,25,136,48.5,Extremely High
Mumbai,2024-12-01,6.5,54,162,46.4,High
Osmanabad,2025-02-21,4.24,48,188,46.5,Medium
Beed,2024-08-21,2.79,129,123,45.6,Medium
Ichalkaranji,2023-02-19,3.42,97,179,23.0,Medium
Sindhudurg,2025-01-28,5.01,108,136,42.4,High
Kolhapur,2024-09-12,9.24,79,151,58.1,Extremely High
Panvel,2023-05-04,3.08,47,130,43.8,Medium
Bhusawal,2023-04-06,5.63,50,131,45.2,High
Kolhapur,2024-10-23,4.56,31,132,21.8,Medium
Sangli,2025-04-22,8.25,78,141,51.0,Extremely High
Jalna,2024-02-28,4.63,83,182,57.5,Medium
Latur,2025-05-26,5.43,83,156,47.9,High
Jalna,2023-02-11,9.82,53,164,57.4,Extremely High
Osmanabad,2023-05-30,9.87,91,159,52.4,Extremely High
Nagpur,2023-02-08,6.65,88,164,60.9,High
Wardha,2025-06-20,7.43,15,182,35.6,High
Navi Mumbai,2024-07-09,1.54,91,144,43.0,Low
Nashik,2025-11-21,5.59,55,112,40.8,High
Bhusawal,2024-08-06,8.67,33,146,46.8,Extremely High
Malegaon,2023-08-29,2.39,49,135,43.5,Low
Panvel,2025-09-03,5.59,72,176,46.2,High
Sangli,2023-04-20,9.05,14,168,70.3,Extremely High
Sindhudurg,2023-07-28,2.2,131,123,21.5,Low
Vasai-Virar,2024-06-22,2.11,57,143,41.2,Low
Palghar,2025-06-05,7.46,40,170,65.4,High
Navi Mumbai,2024-09-13,6.87,89,144,32.0,High
Yavatmal,2023-04-16,5.75,45,113,64.2,High
Nanded,2023-06-11,6.41,103,157,66.7,High
Pune,2025-04-09,9.29,8,153,59.4,Extremely High
Parbhani,2023-05-15,4.83,33,170,42.4,Medium
Bhusawal,2023-07-31,1.85,106,117,33.7,Low
Navi Mumbai,2023-06-19,1.98,44,166,51.8,Low
Nashik,2024-03-13,2.82,120,109,25.6,Medium
Solapur,2023-12-12,7.19,89,145,31.3,High
Dhule,2025-02-08,7.64,90,179,55.8,High
Nashik,2025-08-09,3.62,120,111,44.3,Medium
Solapur,2025-04-23,1.56,88,167,11.6,Low
Jalgaon,2023-03-09,2.09,124,132,21.0,Low
Bhusawal,2025-09-19,1.18,103,129,25.0,Low
